product_id,product_name,category,price,description,specifications,order_count,total_revenue
aca2eb7d00ea1a7b8ebd4e68314663af,Modern Furniture Piece,furniture_decor,71.36,Stylish Modern Furniture Piece that complements any home decor,"{'pieces': '1 unit', 'material': 'Solid wood and metal', 'assembly': 'Easy assembly required', 'dimensions': 'Standard size', 'warranty': '3 years'}",527,37608.9
99a4788cb24856965c36a24e339b6058,Premium Bedding Set,bed_bath_table,88.17,High-quality Premium Bedding Set with premium materials for ultimate comfort,"{'pieces': '6-piece set', 'material': 'Cotton blend', 'care': 'Machine washable', 'includes': 'Sheets, pillowcases, duvet cover', 'warranty': '1 year'}",488,43025.560000000005
422879e10f46682990de24d770e7f83d,Garden Tool Set,garden_tools,54.91,Quality Garden Tool Set with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",484,26577.22
389d119b48cf3043d311335e499d9c6b,Garden Tool Set,garden_tools,54.7,Quality Garden Tool Set with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",392,21440.59
368c6c730842d78016ad823897a372db,Garden Tool Set,garden_tools,54.27,Quality Garden Tool Set with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",388,21056.8
53759a2ecddad2bb87a079a1f1519f73,Garden Tool Set,garden_tools,54.66,Quality Garden Tool Set with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",373,20387.2
d1c427060a0f73f6b889a5c7c61f2ac4,Computer Accessory Bundle,computers_accessories,137.65,Essential Computer Accessory Bundle for enhanced productivity,"{'pieces': '1 device with accessories', 'connectivity': 'USB and wireless', 'compatibility': 'Windows, Mac, Linux', 'includes': 'Cables and manual', 'warranty': '1 year'}",343,47214.51
53b36df67ebb7c41585e8d54d6772e08,Designer Watch,watches_gifts,116.67,Elegant Designer Watch perfect for any occasion,"{'pieces': '1 watch with box', 'material': 'Stainless steel', 'water_resistance': '50 meters', 'movement': 'Quartz', 'warranty': '2 years'}",323,37683.42
154e7e31ebfa092203795c972e5804a6,Beauty Care Kit,health_beauty,22.51,Professional-grade Beauty Care Kit with natural ingredients,"{'pieces': '5-item kit', 'type': 'Skincare essentials', 'ingredients': 'Natural and organic', 'suitable_for': 'All skin types', 'warranty': '6 months'}",281,6325.19
3dd2a17168ec895c781a9191c1e95ad7,Computer Accessory Bundle,computers_accessories,149.94,Essential Computer Accessory Bundle for enhanced productivity,"{'pieces': '1 device with accessories', 'connectivity': 'USB and wireless', 'compatibility': 'Windows, Mac, Linux', 'includes': 'Cables and manual', 'warranty': '1 year'}",274,41082.6
2b4609f8948be18874494203496bc318,Beauty Care Kit,health_beauty,87.37,Professional-grade Beauty Care Kit with natural ingredients,"{'pieces': '5-item kit', 'type': 'Skincare essentials', 'ingredients': 'Natural and organic', 'suitable_for': 'All skin types', 'warranty': '6 months'}",260,22717.219999999998
7c1bd920dbdf22470b68bde975dd3ccf,Beauty Care Kit,health_beauty,60.03,Professional-grade Beauty Care Kit with natural ingredients,"{'pieces': '5-item kit', 'type': 'Skincare essentials', 'ingredients': 'Natural and organic', 'suitable_for': 'All skin types', 'warranty': '6 months'}",231,13866.69
a62e25e09e05e6faf31d90c6ec1aa3d1,Designer Watch,watches_gifts,106.42,Elegant Designer Watch perfect for any occasion,"{'pieces': '1 watch with box', 'material': 'Stainless steel', 'water_resistance': '50 meters', 'movement': 'Quartz', 'warranty': '2 years'}",226,24051.0
5a848e4ab52fd5445cdc07aab1c40e48,Product Product,,122.99,Quality Product Product with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",197,24229.03
bb50f2e236e5eea0100680137654686c,Beauty Care Kit,health_beauty,327.62,Professional-grade Beauty Care Kit with natural ingredients,"{'pieces': '5-item kit', 'type': 'Skincare essentials', 'ingredients': 'Natural and organic', 'suitable_for': 'All skin types', 'warranty': '6 months'}",195,63885.0
e0d64dcfaa3b6db5c54ca298ae101d05,Designer Watch,watches_gifts,163.85,Elegant Designer Watch perfect for any occasion,"{'pieces': '1 watch with box', 'material': 'Stainless steel', 'water_resistance': '50 meters', 'movement': 'Quartz', 'warranty': '2 years'}",194,31786.82
e53e557d5a159f5aa2c5e995dfdf244b,Computer Accessory Bundle,computers_accessories,84.37,Essential Computer Accessory Bundle for enhanced productivity,"{'pieces': '1 device with accessories', 'connectivity': 'USB and wireless', 'compatibility': 'Windows, Mac, Linux', 'includes': 'Cables and manual', 'warranty': '1 year'}",183,15439.25
42a2c92a0979a949ca4ea89ec5c7b934,Kitchen Essentials Set,housewares,59.4,Practical Kitchen Essentials Set for everyday kitchen needs,"{'pieces': '4-piece set', 'material': 'Stainless steel', 'dishwasher_safe': 'Yes', 'includes': 'Multiple sizes', 'warranty': '2 years'}",183,10870.1
b532349fe46b38fbc7bb3914c1bdae07,Modern Furniture Piece,furniture_decor,36.46,Stylish Modern Furniture Piece that complements any home decor,"{'pieces': '1 unit', 'material': 'Solid wood and metal', 'assembly': 'Easy assembly required', 'dimensions': 'Standard size', 'warranty': '3 years'}",169,6162.11
35afc973633aaeb6b877ff57b2793310,Home Confort Product,home_confort,87.79,Quality Home Confort Product with excellent features and durability,"{'pieces': '1 unit', 'material': 'High-quality materials', 'includes': 'Product manual', 'warranty': '1 year'}",165,14484.890000000001
